worker_id,paid,task_name,batch_name,unit_id,try_last,try_current,action,time_submit,time_submit_parsed,document_id,document_index,Reliability_value,Reliability_label,Reliability_index,Reliability_description,Neutrality_value,Neutrality_label,Neutrality_index,Neutrality_description,Precision_value,Precision_label,Precision_index,Precision_description,Completeness_value,Completeness_label,Completeness_index,Completeness_description,Informativeness_value,Informativeness_label,Informativeness_index,Informativeness_description,Confidence_value,Confidence_justification,time_start,time_end,time_elapsed,time_start_parsed,time_end_parsed,accesses,global_outcome,global_form_validity,gold_checks,time_spent_check
HAA3KNPKCB5DSG,True,task1,batch1,unit_11,1,1,Next,"Tue, 16 Jan 2024 18:28:32 GMT",2024-01-16 18:28:32 00:00,B0001DHQPI,0,1,partially-agree:,3.0,the review is mostly reliable,-1,partially-disagree:,1.0,the review has some elements of neutrality but also contains subjective or biased expressions,1,partially-agree:,3.0,"the review is mostly precise, with some specific details",1,partially-agree:,3.0,the review is mostly complete in providing necessary details,0,neutral:,2.0,the informativeness of the review cannot be definitively determined,90,What is objective or not cannot be stated for sure so also my answers are based on what I personally think is a good review,1705429510.55,1705429712.76,202.21,2024-01-16 18:25:10,2024-01-16 18:28:32,1,True,True,True,True
HAA3KNPKCB5DSG,True,task1,batch1,unit_11,1,1,Next,"Tue, 16 Jan 2024 18:29:46 GMT",2024-01-16 18:29:46 00:00,B00006JN5L,1,-2,-completely-disagree:,0.0,the review provides unreliable or untrustworthy information,-2,-completely-disagree:,0.0,"the review is highly subjective or biased, providing unreliable information",-2,-completely-disagree:,0.0,the review provides imprecise and vague information,-2,-completely-disagree:,0.0,"the review is deficient in crucial details, presenting an incomplete overview",-2,-completely-disagree:,0.0,"the review lacks informative content, providing insufficient details",100,"It’s quite obvious, it’s seems like reading a 10 years old boy review",1705429712.76,1705429786.27,73.51,2024-01-16 18:28:32,2024-01-16 18:29:46,1,True,True,True,True
HAA3KNPKCB5DSG,True,task1,batch1,unit_11,1,1,Next,"Tue, 16 Jan 2024 18:31:02 GMT",2024-01-16 18:31:02 00:00,B00QTSR5GO,2,2,-completely-agree:,4.0,the review is entirely reliable and considered trustworthy,2,-completely-agree:,4.0,"the review is entirely neutral, expressed objectively without bias",2,-completely-agree:,4.0,the review is entirely precise and considered trustworthy,1,partially-agree:,3.0,the review is mostly complete in providing necessary details,1,partially-agree:,3.0,"the review is mostly informative, offering relevant details",100,You can clearly feel that this person tried to provide the most objective feedback possible,1705429786.27,1705429862.32,76.05,2024-01-16 18:29:46,2024-01-16 18:31:02,1,True,True,True,True
HAA3KNPKCB5DSG,True,task1,batch1,unit_11,1,1,Next,"Tue, 16 Jan 2024 19:33:15 GMT",2024-01-16 19:33:15 00:00,B005ZNWT4C,3,-1,partially-disagree:,1.0,the review has some unreliable information,-2,-completely-disagree:,0.0,"the review is highly subjective or biased, providing unreliable information",-2,-completely-disagree:,0.0,the review provides imprecise and vague information,-2,-completely-disagree:,0.0,"the review is deficient in crucial details, presenting an incomplete overview",-2,-completely-disagree:,0.0,"the review lacks informative content, providing insufficient details",100,This review is clearly biased as also stated by its author “I’m a big fan” is already underlining a subjective component in it.,1705429862.32,1705433595.68,3733.36,2024-01-16 18:31:02,2024-01-16 19:33:15,1,True,True,True,True
HAA3KNPKCB5DSG,True,task1,batch1,unit_11,1,1,Finish,"Tue, 16 Jan 2024 19:35:33 GMT",2024-01-16 19:35:33 00:00,B00004SVUZ,4,0,neutral:,2.0,the review's reliability cannot be definitively determined,0,neutral:,2.0,the neutrality of the review cannot be definitively determined,0,neutral:,2.0,the review's precision cannot be definitively determined,-1,partially-disagree:,1.0,"the review includes some details, but overall, it is incomplete",0,neutral:,2.0,the informativeness of the review cannot be definitively determined,70,"The review lack basic information about the game but it is still describing some elements of it. I think other people will evaluate this review in a different way, that could be either more positive or negative.",1705433595.68,1705433733.26,137.57,2024-01-16 19:33:15,2024-01-16 19:35:33,1,True,True,True,True
JLVBHXOL0E65XT,True,task1,batch1,unit_4,1,1,Next,"Tue, 16 Jan 2024 15:07:51 GMT",2024-01-16 15:07:51 00:00,B005ZNWT4C,0,1,partially-agree:,3.0,the review is mostly reliable,1,partially-agree:,3.0,the review is mostly expressed in objective terms but may have some subjective elements,0,neutral:,2.0,the review's precision cannot be definitively determined,-1,partially-disagree:,1.0,"the review includes some details, but overall, it is incomplete",-1,partially-disagree:,1.0,"the review has some informative elements, but overall, it is not fully detailed",80.0,I am confident enough because I also play video games and I know these situations.,1705417581.0,1705417671.9,90.9,2024-01-16 15:06:21,2024-01-16 15:07:51,1,True,True,True,True
JLVBHXOL0E65XT,True,task1,batch1,unit_4,1,1,Next,"Tue, 16 Jan 2024 15:09:53 GMT",2024-01-16 15:09:53 00:00,B0050SYWGU,1,-1,partially-disagree:,1.0,the review has some unreliable information,0,neutral:,2.0,the neutrality of the review cannot be definitively determined,0,neutral:,2.0,the review's precision cannot be definitively determined,1,partially-agree:,3.0,the review is mostly complete in providing necessary details,-1,partially-disagree:,1.0,"the review has some informative elements, but overall, it is not fully detailed",60.0,I am not so confident because I don’t know the game,1705417671.9,1705417793.92,122.02,2024-01-16 15:07:51,2024-01-16 15:09:53,1,True,True,True,True
JLVBHXOL0E65XT,True,task1,batch1,unit_4,1,1,Next,"Tue, 16 Jan 2024 15:13:44 GMT",2024-01-16 15:13:44 00:00,B01G6LXXWI,2,-1,partially-disagree:,1.0,the review has some unreliable information,0,neutral:,2.0,the neutrality of the review cannot be definitively determined,-1,partially-disagree:,1.0,the review contains some imprecise details and vagueness,0,neutral:,2.0,the completeness of the review cannot be definitively determined,1,partially-agree:,3.0,"the review is mostly informative, offering relevant details",90.0,I am so much confident about my answers because I have read the review twice,1705417793.92,1705418024.17,230.25,2024-01-16 15:09:53,2024-01-16 15:13:44,1,True,True,True,True
JLVBHXOL0E65XT,True,task1,batch1,unit_4,1,1,Next,"Tue, 16 Jan 2024 15:15:00 GMT",2024-01-16 15:15:00 00:00,B0002KMHD6,3,1,partially-agree:,3.0,the review is mostly reliable,1,partially-agree:,3.0,the review is mostly expressed in objective terms but may have some subjective elements,1,partially-agree:,3.0,"the review is mostly precise, with some specific details",1,partially-agree:,3.0,the review is mostly complete in providing necessary details,-1,partially-disagree:,1.0,"the review has some informative elements, but overall, it is not fully detailed",60.0,Becuase the review is too long and maybe I don’t have pay much attention,1705418024.17,1705418100.21,76.04,2024-01-16 15:13:44,2024-01-16 15:15:00,1,True,True,True,True
JLVBHXOL0E65XT,True,task1,batch1,unit_4,1,1,Finish,"Tue, 16 Jan 2024 15:16:27 GMT",2024-01-16 15:16:27 00:00,B001DYVHY0,4,1,partially-agree:,3.0,the review is mostly reliable,1,partially-agree:,3.0,the review is mostly expressed in objective terms but may have some subjective elements,2,-completely-agree:,4.0,the review is entirely precise and considered trustworthy,-1,partially-disagree:,1.0,"the review includes some details, but overall, it is incomplete",0,neutral:,2.0,the informativeness of the review cannot be definitively determined,30.0,I am not sure about this answers because I don’t have understood the review,1705418100.21,1705418187.28,87.06,2024-01-16 15:15:00,2024-01-16 15:16:27,1,True,True,True,True
KWJ2MEMELZHTD1,True,task1,batch1,unit_7,1,1,Next,"Tue, 16 Jan 2024 17:15:47 GMT",2024-01-16 17:15:47 00:00,B00004SVUZ,0,2,-completely-agree:,4.0,the review is entirely reliable and considered trustworthy,-1,partially-disagree:,1.0,the review has some elements of neutrality but also contains subjective or biased expressions,2,-completely-agree:,4.0,the review is entirely precise and considered trustworthy,1,partially-agree:,3.0,the review is mostly complete in providing necessary details,2,-completely-agree:,4.0,"the review is entirely informative, delivering a comprehensive and detailed analysis",94.0,"Questa recensione è molto completa, da informazioni sul gioco che possono ritornare utili per una persona che sta andando ad acquistarlo",1705425031.51,1705425347.3,315.79,2024-01-16 17:10:31,2024-01-16 17:15:47,1,True,True,True,True
KWJ2MEMELZHTD1,True,task1,batch1,unit_7,1,1,Back,"Tue, 16 Jan 2024 17:15:54 GMT",2024-01-16 17:15:54 00:00,B015XC3B46,1,,-completely-agree:,4.0,the review is entirely reliable and considered trustworthy,,partially-disagree:,1.0,the review has some elements of neutrality but also contains subjective or biased expressions,,-completely-agree:,4.0,the review is entirely precise and considered trustworthy,,partially-agree:,3.0,the review is mostly complete in providing necessary details,,-completely-agree:,4.0,"the review is entirely informative, delivering a comprehensive and detailed analysis",9.0,,1705425347.3,1705425354.67,7.37,2024-01-16 17:15:47,2024-01-16 17:15:54,1,True,True,True,True
KWJ2MEMELZHTD1,True,task1,batch1,unit_7,1,1,Next,"Tue, 16 Jan 2024 17:16:55 GMT",2024-01-16 17:16:55 00:00,B00004SVUZ,0,2,-completely-agree:,4.0,the review is entirely reliable and considered trustworthy,-1,partially-disagree:,1.0,the review has some elements of neutrality but also contains subjective or biased expressions,2,-completely-agree:,4.0,the review is entirely precise and considered trustworthy,1,partially-agree:,3.0,the review is mostly complete in providing necessary details,2,-completely-agree:,4.0,"the review is entirely informative, delivering a comprehensive and detailed analysis",94.0,"Questa recensione è molto completa, da informazioni sul gioco che possono ritornare utili per una persona che sta andando ad acquistarlo",1705425031.51,1705425347.3,376.75,2024-01-16 17:10:31,2024-01-16 17:15:47,2,True,True,True,True
KWJ2MEMELZHTD1,True,task1,batch1,unit_7,1,1,Back,"Tue, 16 Jan 2024 17:17:48 GMT",2024-01-16 17:17:48 00:00,B015XC3B46,1,1,partially-agree:,3.0,the review is mostly reliable,1,partially-agree:,3.0,the review is mostly expressed in objective terms but may have some subjective elements,,-completely-agree:,4.0,the review is entirely precise and considered trustworthy,,partially-agree:,3.0,the review is mostly complete in providing necessary details,,-completely-agree:,4.0,"the review is entirely informative, delivering a comprehensive and detailed analysis",9.0,,1705425347.3,1705425354.67,60.43,2024-01-16 17:15:47,2024-01-16 17:15:54,2,True,True,True,True
KWJ2MEMELZHTD1,True,task1,batch1,unit_7,1,1,Next,"Tue, 16 Jan 2024 17:17:52 GMT",2024-01-16 17:17:52 00:00,B00004SVUZ,0,2,-completely-agree:,4.0,the review is entirely reliable and considered trustworthy,1,partially-agree:,3.0,the review is mostly expressed in objective terms but may have some subjective elements,2,-completely-agree:,4.0,the review is entirely precise and considered trustworthy,1,partially-agree:,3.0,the review is mostly complete in providing necessary details,2,-completely-agree:,4.0,"the review is entirely informative, delivering a comprehensive and detailed analysis",94.0,"Questa recensione è molto completa, da informazioni sul gioco che possono ritornare utili per una persona che sta andando ad acquistarlo",1705425031.51,1705425347.3,380.8,2024-01-16 17:10:31,2024-01-16 17:15:47,3,True,True,True,True
KWJ2MEMELZHTD1,True,task1,batch1,unit_7,1,1,Next,"Tue, 16 Jan 2024 17:20:32 GMT",2024-01-16 17:20:32 00:00,B015XC3B46,1,1,partially-agree:,3.0,the review is mostly reliable,1,partially-agree:,3.0,the review is mostly expressed in objective terms but may have some subjective elements,-1,partially-disagree:,1.0,the review contains some imprecise details and vagueness,-1,partially-disagree:,1.0,"the review includes some details, but overall, it is incomplete",0,neutral:,2.0,the informativeness of the review cannot be definitively determined,64.0,"Questa recensione è controversa, da un certo punto di vista critica il prodotto e dall'altro lo consiglia",1705425347.3,1705425354.67,220.63,2024-01-16 17:15:47,2024-01-16 17:15:54,3,True,True,True,True
KWJ2MEMELZHTD1,True,task1,batch1,unit_7,1,1,Back,"Tue, 16 Jan 2024 17:20:36 GMT",2024-01-16 17:20:36 00:00,B000O39U3Q,2,,partially-agree:,3.0,the review is mostly reliable,,partially-agree:,3.0,the review is mostly expressed in objective terms but may have some subjective elements,,partially-disagree:,1.0,the review contains some imprecise details and vagueness,,partially-disagree:,1.0,"the review includes some details, but overall, it is incomplete",,neutral:,2.0,the informativeness of the review cannot be definitively determined,,,1705425632.93,1705425636.09,3.16,2024-01-16 17:20:32,2024-01-16 17:20:36,1,True,True,True,True
KWJ2MEMELZHTD1,True,task1,batch1,unit_7,1,1,Next,"Tue, 16 Jan 2024 17:20:40 GMT",2024-01-16 17:20:40 00:00,B015XC3B46,1,1,partially-agree:,3.0,the review is mostly reliable,1,partially-agree:,3.0,the review is mostly expressed in objective terms but may have some subjective elements,-1,partially-disagree:,1.0,the review contains some imprecise details and vagueness,-1,partially-disagree:,1.0,"the review includes some details, but overall, it is incomplete",0,neutral:,2.0,the informativeness of the review cannot be definitively determined,46.0,"Questa recensione è controversa, da un certo punto di vista critica il prodotto e dall'altro lo consiglia",1705425347.3,1705425354.67,225.23,2024-01-16 17:15:47,2024-01-16 17:15:54,4,True,True,True,True
KWJ2MEMELZHTD1,True,task1,batch1,unit_7,1,1,Next,"Tue, 16 Jan 2024 17:24:56 GMT",2024-01-16 17:24:56 00:00,B000O39U3Q,2,2,-completely-agree:,4.0,the review is entirely reliable and considered trustworthy,1,partially-agree:,3.0,the review is mostly expressed in objective terms but may have some subjective elements,0,neutral:,2.0,the review's precision cannot be definitively determined,-1,partially-disagree:,1.0,"the review includes some details, but overall, it is incomplete",-1,partially-disagree:,1.0,"the review has some informative elements, but overall, it is not fully detailed",75.0,"Questa recensione tutto sommato è utile e chiara, inoltre arriva da un'insegnante quindi una persona affidabile",1705425632.93,1705425636.09,259.31,2024-01-16 17:20:32,2024-01-16 17:20:36,2,True,True,True,True
KWJ2MEMELZHTD1,True,task1,batch1,unit_7,1,1,Next,"Tue, 16 Jan 2024 17:30:04 GMT",2024-01-16 17:30:04 00:00,B0002KMHD6,3,-2,-completely-disagree:,0.0,the review provides unreliable or untrustworthy information,1,partially-agree:,3.0,the review is mostly expressed in objective terms but may have some subjective elements,2,-completely-agree:,4.0,the review is entirely precise and considered trustworthy,2,-completely-agree:,4.0,the review provides a comprehensive overview,2,-completely-agree:,4.0,"the review is entirely informative, delivering a comprehensive and detailed analysis",78.0,Questa recensione è molto completa (anche troppo) e spiega bene il gioco per ogni tipo di giocatore,1705425896.85,1705426204.34,307.49,2024-01-16 17:24:56,2024-01-16 17:30:04,1,True,True,True,True
KWJ2MEMELZHTD1,True,task1,batch1,unit_7,1,1,Finish,"Tue, 16 Jan 2024 17:32:31 GMT",2024-01-16 17:32:31 00:00,B0050SYWGU,4,1,partially-agree:,3.0,the review is mostly reliable,2,-completely-agree:,4.0,"the review is entirely neutral, expressed objectively without bias",1,partially-agree:,3.0,"the review is mostly precise, with some specific details",0,neutral:,2.0,the completeness of the review cannot be definitively determined,1,partially-agree:,3.0,"the review is mostly informative, offering relevant details",85.0,"Questa recensione sembra utile ed è lunga, l'utente che la ha scritta ha usato per un bel po il gioco quantmeno",1705426204.34,1705426351.19,146.85,2024-01-16 17:30:04,2024-01-16 17:32:31,1,True,True,True,True
L292E0RLKG4B7U,True,task1,batch1,unit_9,1,1,Next,"Tue, 16 Jan 2024 17:36:21 GMT",2024-01-16 17:36:21 00:00,B003TO59D2,0,0,neutral:,2.0,the review's reliability cannot be definitively determined,-2,-completely-disagree:,0.0,"the review is highly subjective or biased, providing unreliable information",1,partially-agree:,3.0,"the review is mostly precise, with some specific details",-1,partially-disagree:,1.0,"the review includes some details, but overall, it is incomplete",-1,partially-disagree:,1.0,"the review has some informative elements, but overall, it is not fully detailed",84,la persona che ha recensito ha esposto un problema del gioco che potrebbe essere aggiustato tramite software,1705426062.62,1705426581.73,519.11,2024-01-16 17:27:42,2024-01-16 17:36:21,1,True,True,True,True
L292E0RLKG4B7U,True,task1,batch1,unit_9,1,1,Back,"Tue, 16 Jan 2024 17:37:24 GMT",2024-01-16 17:37:24 00:00,B01G6LXXWI,1,-2,-completely-disagree:,0.0,the review provides unreliable or untrustworthy information,-1,partially-disagree:,1.0,the review has some elements of neutrality but also contains subjective or biased expressions,,partially-agree:,3.0,"the review is mostly precise, with some specific details",,partially-disagree:,1.0,"the review includes some details, but overall, it is incomplete",,partially-disagree:,1.0,"the review has some informative elements, but overall, it is not fully detailed",,,1705426581.73,1705426644.36,62.62,2024-01-16 17:36:21,2024-01-16 17:37:24,1,True,True,True,True
L292E0RLKG4B7U,True,task1,batch1,unit_9,1,1,Next,"Tue, 16 Jan 2024 17:37:35 GMT",2024-01-16 17:37:35 00:00,B003TO59D2,0,0,neutral:,2.0,the review's reliability cannot be definitively determined,2,-completely-agree:,4.0,"the review is entirely neutral, expressed objectively without bias",-1,partially-disagree:,1.0,the review contains some imprecise details and vagueness,1,partially-agree:,3.0,the review is mostly complete in providing necessary details,1,partially-agree:,3.0,"the review is mostly informative, offering relevant details",84,la persona che ha recensito ha esposto un problema del gioco che potrebbe essere aggiustato tramite software,1705426062.62,1705426581.73,530.23,2024-01-16 17:27:42,2024-01-16 17:36:21,2,True,True,True,True
L292E0RLKG4B7U,True,task1,batch1,unit_9,1,1,Next,"Tue, 16 Jan 2024 17:38:45 GMT",2024-01-16 17:38:45 00:00,B01G6LXXWI,1,2,-completely-agree:,4.0,the review is entirely reliable and considered trustworthy,1,partially-agree:,3.0,the review is mostly expressed in objective terms but may have some subjective elements,2,-completely-agree:,4.0,the review is entirely precise and considered trustworthy,2,-completely-agree:,4.0,the review provides a comprehensive overview,0,neutral:,2.0,the informativeness of the review cannot be definitively determined,90,la persona che ha recensito ha elogiato la qualità del prodotto,1705426581.73,1705426644.36,132.5,2024-01-16 17:36:21,2024-01-16 17:37:24,2,True,True,True,True
L292E0RLKG4B7U,True,task1,batch1,unit_9,1,1,Next,"Tue, 16 Jan 2024 17:41:57 GMT",2024-01-16 17:41:57 00:00,B0050SYWGU,2,2,-completely-agree:,4.0,the review is entirely reliable and considered trustworthy,1,partially-agree:,3.0,the review is mostly expressed in objective terms but may have some subjective elements,2,-completely-agree:,4.0,the review is entirely precise and considered trustworthy,2,-completely-agree:,4.0,the review provides a comprehensive overview,1,partially-agree:,3.0,"the review is mostly informative, offering relevant details",89,la persona che ha recensito è stata molto dettagliata sul gioco e sulle apparecchiature fornite con il gioco,1705426725.36,1705426917.78,192.43,2024-01-16 17:38:45,2024-01-16 17:41:57,1,True,True,True,True
L292E0RLKG4B7U,True,task1,batch1,unit_9,1,1,Next,"Tue, 16 Jan 2024 17:44:59 GMT",2024-01-16 17:44:59 00:00,B0029MAXR2,3,2,-completely-agree:,4.0,the review is entirely reliable and considered trustworthy,1,partially-agree:,3.0,the review is mostly expressed in objective terms but may have some subjective elements,2,-completely-agree:,4.0,the review is entirely precise and considered trustworthy,2,-completely-agree:,4.0,the review provides a comprehensive overview,1,partially-agree:,3.0,"the review is mostly informative, offering relevant details",85,la persona che ha recensito il gioco ha spiegato con cura sia i piccoli problemi ma anche i pregi del gioco,1705426917.78,1705427099.95,182.16,2024-01-16 17:41:57,2024-01-16 17:44:59,1,True,True,True,True
L292E0RLKG4B7U,True,task1,batch1,unit_9,1,1,Finish,"Tue, 16 Jan 2024 17:47:13 GMT",2024-01-16 17:47:13 00:00,B000O39U3Q,4,-1,partially-disagree:,1.0,the review has some unreliable information,-2,-completely-disagree:,0.0,"the review is highly subjective or biased, providing unreliable information",0,neutral:,2.0,the review's precision cannot be definitively determined,0,neutral:,2.0,the completeness of the review cannot be definitively determined,1,partially-agree:,3.0,"the review is mostly informative, offering relevant details",80,l'utente che ha recensito ha dato un suo parere da insegnate dando torto ad altri recensori,1705427099.95,1705427233.76,133.81,2024-01-16 17:44:59,2024-01-16 17:47:13,1,True,True,True,True
MXLX3Z0LDZTDTY,True,task1,batch1,unit_8,1,1,Next,"Tue, 16 Jan 2024 17:32:49 GMT",2024-01-16 17:32:49 00:00,B0001DHQPI,0,1,partially-agree:,3.0,the review is mostly reliable,-1,partially-disagree:,1.0,the review has some elements of neutrality but also contains subjective or biased expressions,2,-completely-agree:,4.0,the review is entirely precise and considered trustworthy,2,-completely-agree:,4.0,the review provides a comprehensive overview,1,partially-agree:,3.0,"the review is mostly informative, offering relevant details",85,"Questa recensione risulta molto scritta da una persona che ha apprezato il gioco per le sue caratteristiche, grazie anche al background del recensore.",1705425133.36,1705426369.91,1236.55,2024-01-16 17:12:13,2024-01-16 17:32:49,1,True,True,True,True
